almost_labels,labels,filtered_text,original_text,follower_num,is_appropriate,over_500_followers,tweet_id
1,1,"""Success is that old ABC: Ability, breaks and courage "". Charles Luckman.","""Success is that old ABC: Ability, breaks and courage "". Charles Luckman. 

#meditation #mindfulness #mindflow #mindflowdaily #SundayMorning #motivation #positivity #inspiration #calm #quote #dailyquote #SundayMotivation #SundayThoughts https://t.co/rTTaWIFbMM",,TRUE,TRUE,1.16E+18
1,1,"Remember, anything is possible!","Remember, anything is possible!
.
#staymotivated #motivation #inspiration #mindset #motivationalqoute #inspire #inspiration #neurophysio #rehab #physiotherapy  #spinalcordinjury #rehabilitation #strokerecovery #strokerehab #parkinsonswarrior #cerebralpalsy #cpwarrior #mswarrior https://t.co/VQ9jsZVw1d",,TRUE,TRUE,1.16E+18
1,1,"If it does not bring you joy, it may be time to direct your energy and resources elsewhere.","If it does not bring you joy, 

it may be time to direct your energy and resources elsewhere.

#SundayMotivation #life #entrepreneur #MondayMotivation #quote #ThinkBIGSundayWithMarsha #inspiration #motivation https://t.co/ED2y7WFhpO",,TRUE,TRUE,1.16E+18
1,1,Your past DOES NOT determine your future!,"Your past DOES NOT determine your future!

#SundayMotivation #MondayMotivation #CrowdSuccess #ThinkBIGSundayWithMarsha #motivation #inspiration #quote https://t.co/OOM3YNd7Vd",,TRUE,TRUE,1.16E+18
1,1,"If you think a small investment is too much to boost your career, imagine waiting a whole year for a 50 cent raise.","If you think a small investment is too much to boost your career, imagine waiting a whole year for a 50 cent raise. #success #motivation #inspiration #investinyourself #TheMillionaireRecruiter https://t.co/jNviBSV1Lf",,TRUE,TRUE,1.16E+18
1,1,Motivation and habit is the perfect combination in having success.,"Motivation and habit is the perfect combination in having success.

#ultimatesuccessfactor #motivation #lifegoals #teamgoals #squadgoals #inspiration #entrepreneur #motivated #grind #hustle #startup #lifequotes #ambition #marketing #future #success #goals https://t.co/BhqC1piVBR",,TRUE,TRUE,1.16E+18
1,1,Honesty is the first chapter in the book of wisdom.,"Honesty is the first chapter in the book of wisdom.
.
#inspiration #motivation https://t.co/Bj82my2BD3",,TRUE,TRUE,1.16E+18
1,1,"To know oneself, one should assert oneself. - Albert Camus.","To know oneself, one should assert oneself - Albert Camus
.
#inspiration  #motivation  #success  #manifestation  #LawOfAttraction  #grace  #gratitude  #love  #mercy  #compassion  #forgiveness  #lovingkindness https://t.co/3T5nEOxSYE",,TRUE,TRUE,1.16E+18
1,1,"Pick battles big enough to matter, small enough to win.","Pick battles big enough to matter, small enough to win.
.
#inspiration #motivation https://t.co/NfgdzTnuIr",,TRUE,TRUE,1.16E+18
1,1,Many times people choose to do what is easy instead of what is right.,Many times people choose to do what is easy instead of what is right. #inspiration #motivation #leadershipcoaching #LeadershipMatters #LeadershipDevelopment #leadership #TuesdayThoughts #SPN #WinWin #projecthelpyougrow Digital360Chat https://t.co/HzzsW5fJ8s,,TRUE,TRUE,1.16E+18
